"";"species";"status";"family"
"1";"Dendrocygna autumnalis";"Visiteur (12)";"anatidae"
"2";"Dendrocygna bicolor";"Visiteur (3)";"anatidae"
"3";"Anser caerulescens";"Nicheur";"anatidae"
"4";"Anser rossii";"Migrateur";"anatidae"
"5";"Anser anser";"Visiteur (1)";"anatidae"
"6";"Anser albifrons";"Migrateur";"anatidae"
"7";"Anser fabalis";"Visiteur (1)";"anatidae"
"8";"Anser serrirostris";"Visiteur (2)";"anatidae"
"9";"Anser brachyrhynchus";"Visiteur";"anatidae"
"10";"Branta bernicla";"Nicheur";"anatidae"
"11";"Branta leucopsis";"Visiteur";"anatidae"
"12";"Branta hutchinsii";"Nicheur";"anatidae"
"13";"Branta canadensis";"Nicheur";"anatidae"
"14";"Cygnus olor";"Nicheur";"anatidae"
"15";"Cygnus buccinator";"Nicheur";"anatidae"
"16";"Cygnus columbianus";"Nicheur";"anatidae"
"17";"Tadorna tadorna";"Visiteur (4)";"anatidae"
"18";"Aix sponsa";"Nicheur";"anatidae"
"19";"Spatula querquedula";"Visiteur (17)";"anatidae"
"20";"Spatula discors";"Nicheur";"anatidae"
"21";"Spatula cyanoptera";"Visiteur (8)";"anatidae"
"22";"Spatula clypeata";"Nicheur";"anatidae"
"23";"Mareca strepera";"Nicheur";"anatidae"
"24";"Mareca penelope";"Migrateur";"anatidae"
"25";"Mareca americana";"Nicheur";"anatidae"
"26";"Anas platyrhynchos";"Nicheur";"anatidae"
"27";"Anas rubripes";"Nicheur";"anatidae"
"28";"Anas acuta";"Nicheur";"anatidae"
"29";"Anas crecca";"Nicheur";"anatidae"
"30";"Aythya valisineria";"Nicheur";"anatidae"
"31";"Aythya americana";"Nicheur";"anatidae"
"32";"Aythya collaris";"Nicheur";"anatidae"
"33";"Aythya fuligula";"Visiteur (23)";"anatidae"
"34";"Aythya marila";"Nicheur";"anatidae"
"35";"Aythya affinis";"Nicheur";"anatidae"
"36";"Polysticta stelleri";"Visiteur (2)";"anatidae"
"37";"Somateria spectabilis";"Nicheur";"anatidae"
"38";"Somateria mollissima";"Nicheur";"anatidae"
"39";"Histrionicus histrionicus";"Nicheur";"anatidae"
"40";"Camptorhynchus labradorius";"Disparu";"anatidae"
"41";"Melanitta perspicillata";"Nicheur";"anatidae"
"42";"Melanitta deglandi";"Nicheur";"anatidae"
"43";"Melanitta americana";"Nicheur";"anatidae"
"44";"Clangula hyemalis";"Nicheur";"anatidae"
"45";"Bucephala albeola";"Nicheur";"anatidae"
"46";"Bucephala clangula";"Nicheur";"anatidae"
"47";"Bucephala islandica";"Nicheur";"anatidae"
"48";"Lophodytes cucullatus";"Nicheur";"anatidae"
"49";"Mergus merganser";"Nicheur";"anatidae"
"50";"Mergus serrator";"Nicheur";"anatidae"
"51";"Oxyura jamaicensis";"Nicheur";"anatidae"
"52";"Meleagris gallopavo";"Nicheur";"phasianidae"
"53";"Bonasa umbellus";"Nicheur";"phasianidae"
"54";"Falcipennis canadensis";"Nicheur";"phasianidae"
"55";"Lagopus lagopus";"Nicheur";"phasianidae"
"56";"Lagopus muta";"Nicheur";"phasianidae"
"57";"Tympanuchus phasianellus";"Nicheur";"phasianidae"
"58";"Perdix perdix";"Nicheur";"phasianidae"
"59";"Podilymbus podiceps";"Nicheur";"podicipedidae"
"60";"Podiceps auritus";"Nicheur";"podicipedidae"
"61";"Podiceps grisegena";"Nicheur";"podicipedidae"
"62";"Podiceps nigricollis";"Visiteur (9)";"podicipedidae"
"63";"Aechmophorus occidentalis";"Visiteur (3)";"podicipedidae"
"64";"Columba livia";"Nicheur";"columbidae"
"65";"Columba palumbus";"Visiteur (1)";"columbidae"
"66";"Patagioenas fasciata";"Visiteur (4)";"columbidae"
"67";"Streptopelia decaocto";"Nicheur";"columbidae"
"68";"Ectopistes migratorius";"Disparu";"columbidae"
"69";"Columbina passerina";"Visiteur (1)";"columbidae"
"70";"Zenaida asiatica";"Visiteur";"columbidae"
"71";"Zenaida macroura";"Nicheur";"columbidae"
"72";"Cuculus canorus";"Visiteur (1)";"cuculidae"
"73";"Coccyzus americanus";"Nicheur";"cuculidae"
"74";"Coccyzus erythropthalmus";"Nicheur";"cuculidae"
"75";"Chordeiles minor";"Nicheur";"caprimulgidae"
"76";"Antrostomus carolinensis";"Visiteur (2)";"caprimulgidae"
"77";"Antrostomus vociferus";"Nicheur";"caprimulgidae"
"78";"Chaetura pelagica";"Nicheur";"apodidae"
"79";"Apus apus";"Visiteur (1)";"apodidae"
"80";"Colibri thalassinus";"Visiteur (1)";"trochilidae"
"81";"Lampornis amethystinus";"Visiteur (1)";"trochilidae"
"82";"Archilochus colubris";"Nicheur";"trochilidae"
"83";"Calypte anna";"Visiteur (2)";"trochilidae"
"84";"Selasphorus rufus";"Visiteur (11)";"trochilidae"
"85";"Cynanthus latirostris";"Visiteur (1)";"trochilidae"
"86";"Rallus crepitans";"Visiteur (2)";"rallidae"
