species;status
Podiceps auritus;menacées
Septophaga cerulea;menacées
Lanius ludovicianus;menacées
Melanerpes erythrocephalus;menacées
Charadrius melodus;menacées
Coturnicops noveboracensis;menacées
Sterna caspia;menacées
Sterna dougallii ;menacées
Aquila chrysaetos;vulnérables
Histrionicus histrionicus;vulnérables
Falco peregrinus anatum;vulnérables
Bucephala islandica;vulnérables
Catharus bicknelli;vulnérables
Ixobrychus exilis;vulnérables
Haliaeetus leucocephalus;vulnérables
Calidris canutus rufa;suceptibles
Ammospiza nelsoni;suceptibles
Ammodramus savannarum;suceptibles
Tyto alba;suceptibles
Antrostomus vociferus;suceptibles
Chordeiles minor;suceptibles
Falco peregrinus tundrius;suceptibles
Asio flammeus;suceptibles
Chaetura pelagica;suceptibles
Contopus cooperi;suceptibles
Oceanodroma leucorhoa;suceptibles
Vermivora chrysoptera;suceptibles
Cardellina canadensis;suceptibles
Parkesia motacilla;suceptibles
Euphagus carolinus;suceptibles
Cistothorus platensis;suceptibles
