french_name;scientific_name;Species Occurrence in Canada _Occurrence de l'espèce au Canada;pop_change_2016;pop_change_cat;data_source;reg_occ_native_sp;range_expanded_1970;sauvagine;oiseau_proie;milieux_humides;marin;forestiers;tous_autres;rivage;prairie;insectivores;espece_oie;sauvagine_milieux_humides_canards;prairires_indigene_dependante;prairie_tolerante_agricole;rivage_migrant_grande_distance;rivage_migrant_courte_distance;forest_winter_south_america;forest_winter_canada;forest_fruits_arbres
Oie des neiges;Anser caerulescens;Regular Breeder_Espèce qui niche régulièrement;908;Increasing_Augmentation;Lincoln Estimators_Estimateurs de Lincoln;1;;1;;;;;;;;;1;;;;;;;;
Oie de Ross;Anser rossii;Regular Breeder_Espèce qui niche régulièrement;1560;Increasing_Augmentation;Lincoln Estimators_Estimateurs de Lincoln;1;;1;;;;;;;;;1;;;;;;;;
Oie rieuse;Anser albifrons;Regular Breeder_Espèce qui niche régulièrement;514;Increasing_Augmentation;Lincoln Estimators_Estimateurs de Lincoln;1;;1;;;;;;;;;1;;;;;;;;
Bernache cravant;Branta bernicla;Regular Breeder_Espèce qui niche régulièrement;-44,2;Decreasing_Diminution;Lincoln Estimators_Estimateurs de Lincoln;1;;1;;;;;;;;;1;;;;;;;;
Bernache de Hutchins;Branta hutchinsii;Regular Breeder_Espèce qui niche régulièrement;905;Increasing_Augmentation;Lincoln Estimators_Estimateurs de Lincoln;1;;1;;;;;;;;;1;;;;;;;;
Bernache du Canada;Branta canadensis;Regular Breeder_Espèce qui niche régulièrement;82,6;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;1;;;;;;;;
Cygne tuberculé;Cygnus olor;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;;;No acceptable data available_On ne dispose pas de données acceptables;;;;;;;;;;;;;;;;;;;;
Cygne trompette;Cygnus buccinator;Regular Breeder_Espèce qui niche régulièrement;17900;Increasing_Augmentation;TRSW Survey_Relevé du CYTR;1;;1;;;;;;;;;;;;;;;;;
Cygne siffleur;Cygnus columbianus;Regular Breeder_Espèce qui niche régulièrement;17,4;Stable_Stables;Winter Waterfowl_Sauvagine en hiver;1;;1;;;;;;;;;;;;;;;;;
Canard branchu;Aix sponsa;Regular Breeder_Espèce qui niche régulièrement;474;Increasing_Augmentation;Southern ON_Sud de l'Ontario;1;;1;;;;;;;;;;1;;;;;;;
Sarcelle à ailes bleues;Spatula discors;Regular Breeder_Espèce qui niche régulièrement;85,4;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Sarcelle cannelle;Spatula cyanoptera;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Canard souchet;Spatula clypeata;Regular Breeder_Espèce qui niche régulièrement;111;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Canard chipeau;Mareca strepera;Regular Breeder_Espèce qui niche régulièrement;141;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Canard siffleur;Mareca penelope;Regular Non-breeder_Espèce non-reproductrice avec présence régulière;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Canard d'Amérique;Mareca americana;Regular Breeder_Espèce qui niche régulièrement;4,34;Stable_Stables;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Canard colvert;Anas platyrhynchos;Regular Breeder_Espèce qui niche régulièrement;31,8;Stable_Stables;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Canard noir;Anas rubripes;Regular Breeder_Espèce qui niche régulièrement;-0,308;Stable_Stables;EWS - Combined_RARS - combiné;1;;1;;;;;;;;;;1;;;;;;;
Canard pilet;Anas acuta;Regular Breeder_Espèce qui niche régulièrement;-45,7;Decreasing_Diminution;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Sarcelle d'hiver;Anas crecca;Regular Breeder_Espèce qui niche régulièrement;125;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Fuligule à dos blanc;Aythya valisineria;Regular Breeder_Espèce qui niche régulièrement;38,9;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Fuligule à tête rouge;Aythya americana;Regular Breeder_Espèce qui niche régulièrement;105;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Fuligule à collier;Aythya collaris;Regular Breeder_Espèce qui niche régulièrement;214;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Fuligule milouinan;Aythya marila;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Petit Fuligule;Aythya affinis;Regular Breeder_Espèce qui niche régulièrement;-14,8;Stable_Stables;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Eider à tête grise;Somateria spectabilis;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Eider à duvet;Somateria mollissima;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Arlequin plongeur;Histrionicus histrionicus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Macreuse à front blanc;Melanitta perspicillata;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Eider du Labrador;Camptorhynchus labradorius;Extinct or Extirpated_Disparue ou disparue du pays;;;No acceptable data available_On ne dispose pas de données acceptables;;;;;;;;;;;;;;;;;;;;
Macreuse brune;Melanitta fusca;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Macreuse à bec jaune;Melanitta americana;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Harelde kakawi;Clangula hyemalis;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Petit Garrot;Bucephala albeola;Regular Breeder_Espèce qui niche régulièrement;133;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Garrot à oeil d'or;Bucephala clangula;Regular Breeder_Espèce qui niche régulièrement;47,2;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Garrot d'Islande;Bucephala islandica;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Harle couronné;Lophodytes cucullatus;Regular Breeder_Espèce qui niche régulièrement;94,2;Increasing_Augmentation;EWS - Helicopter_RARS - hélicoptère;1;;1;;;;;;;;;;1;;;;;;;
Grand Harle;Mergus merganser;Regular Breeder_Espèce qui niche régulièrement;38;Increasing_Augmentation;EWS - Helicopter_RARS - hélicoptère;1;;1;;;;;;;;;;1;;;;;;;
Harle huppé;Mergus serrator;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;1;;;;;;;;;;1;;;;;;;
Érismature rousse;Oxyura jamaicensis;Regular Breeder_Espèce qui niche régulièrement;155;Increasing_Augmentation;Western Waterfowl_Sauvagine de l'Ouest;1;;1;;;;;;;;;;1;;;;;;;
Colin des montagnes;Oreortyx pictus;Extinct or Extirpated_Disparue ou disparue du pays;;;No acceptable data available_On ne dispose pas de données acceptables;;;;;;;;;;;;;;;;;;;;
Colin de Virginie;Colinus virginianus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;;;1;;;;;1;;;;;
Colin de Californie;Callipepla californica;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;396;Increasing_Augmentation;BBS;;;;;;;;;;;;;;;;;;;;
Perdrix choukar;Alectoris chukar;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;-10,3;Stable_Stables;CBC NA_RON AmN;;;;;;;;;;;;;;;;;;;;
Perdrix grise;Perdix perdix;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;13,2;Stable_Stables;BBS;;;;;;;;;;;;;;;;;;;;
Faisan de Colchide;Phasianus colchicus;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;-19,2;Stable_Stables;BBS;;;;;;;;;;;;;;;;;;;;
Gélinotte huppée;Bonasa umbellus;Regular Breeder_Espèce qui niche régulièrement;-2,22;Stable_Stables;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;
Tétras des armoises;Centrocercus urophasianus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;;;1;;;;1;;;;;;
Tétras du Canada;Falcipennis canadensis;Regular Breeder_Espèce qui niche régulièrement;33,2;Increasing_Augmentation;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;
Lagopède des saules;Lagopus lagopus;Regular Breeder_Espèce qui niche régulièrement;-88,9;Decreasing_Diminution;CBC CA_RON CA;1;;;;;;;1;;;;;;;;;;;;
Lagopède alpin;Lagopus muta;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Lagopède à queue blanche;Lagopus leucura;Regular Breeder_Espèce qui niche régulièrement;-33,9;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Tétras sombre;Dendragapus obscurus;Regular Breeder_Espèce qui niche régulièrement;5,23;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;1;
Tétras fuligineux;Dendragapus fuliginosus;Regular Breeder_Espèce qui niche régulièrement;-64,5;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;
Tétras à queue fine;Tympanuchus phasianellus;Regular Breeder_Espèce qui niche régulièrement;12,6;Stable_Stables;BBS;1;;;;;;;;;1;;;;;1;;;;;
Tétras des prairies;Tympanuchus cupido;Extinct or Extirpated_Disparue ou disparue du pays;;;No acceptable data available_On ne dispose pas de données acceptables;;;;;;;;;;;;;;;;;;;;
Dindon sauvage;Meleagris gallopavo;Regular Breeder_Espèce qui niche régulièrement;6890;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Grèbe à bec bigarré;Podilymbus podiceps;Regular Breeder_Espèce qui niche régulièrement;74,7;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Grèbe esclavon;Podiceps auritus;Regular Breeder_Espèce qui niche régulièrement;17,2;Stable_Stables;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Grèbe jougris;Podiceps grisegena;Regular Breeder_Espèce qui niche régulièrement;55,8;Increasing_Augmentation;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Grèbe à cou noir;Podiceps nigricollis;Regular Breeder_Espèce qui niche régulièrement;16,4;Stable_Stables;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Grèbe élégant;Aechmophorus occidentalis;Regular Breeder_Espèce qui niche régulièrement;38,2;Increasing_Augmentation;CBC NA_RON AmN;1;;;;1;;;;;;;;;;;;;;;
Grèbe à face blanche;Aechmophorus clarkii;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;1;;;;;;;;;;;;;;;
Pigeon biset;Columba livia;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;39,3;Increasing_Augmentation;BBS;;;;;;;;;;;;;;;;;;;;
Pigeon à queue barrée;Patagioenas fasciata;Regular Breeder_Espèce qui niche régulièrement;-83,8;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;1
Tourterelle turque;Streptopelia decaocto;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;;;No acceptable data available_On ne dispose pas de données acceptables;;;;;;;;;;;;;;;;;;;;
Tourte voyageuse;Ectopistes migratorius;Extinct or Extirpated_Disparue ou disparue du pays;;;No acceptable data available_On ne dispose pas de données acceptables;;;;;;;;;;;;;;;;;;;;
Tourterelle triste;Zenaida macroura;Regular Breeder_Espèce qui niche régulièrement;73,2;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Coulicou à bec jaune;Coccyzus americanus;Regular Breeder_Espèce qui niche régulièrement;-19,2;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;1;;
