Charadrius hiaticula;Is not a Qc breeding bird
Porphyrio martinica;Is not a Qc breeding bird
Sayornis saya;Is not a Qc breeding bird
Caracara cheriway;Is not a Qc breeding bird
Egretta caerulea;Is not a Qc breeding bird
Melanitta fusca;Is not a Qc breeding bird
Sialia currucoides;Is not a Qc breeding bird
Icterus bullockii;Is not a Qc breeding bird
Elanoides forficatus;Is not a Qc breeding bird
Myioborus pictus;Is not a Qc breeding bird
Selasphorus rufus;Is not a Qc breeding bird
Myadestes townsendi;Is not a Qc breeding bird
Chen rossii;Is not a Qc breeding bird
Larus canus;Is not a Qc breeding bird
Calidris himantopus;Is not a Qc breeding bird
Contopus sordidulus;Is not a Qc breeding bird
Branta leucopsis;Is not a Qc breeding bird
Setophaga kirtlandii;Is not a Qc breeding bird
Haematopus palliatus;Is not a Qc breeding bird
Dendrocygna bicolor;Is not a Qc breeding bird
Lampornis amethystinus;Is not a Qc breeding bird
Setophaga occidentalis;Is not a Qc breeding bird
Leucophaeus pipixcan;Is not a Qc breeding bird
Platalea ajaja;Is not a Qc breeding bird
Leucosticte tephrocotis;Is not a Qc breeding bird
Spizella breweri;Is not a Qc breeding bird
Dendrocygna autumnalis;Is not a Qc breeding bird
Egretta thula;Is not a Qc breeding bird
Pheucticus melanocephalus;Is not a Qc breeding bird
Phasianus colchicus;Is not a Qc breeding bird
Corvus ossifragus;Is not a Qc breeding bird
Larus schistisagus;Is not a Qc breeding bird
Helmitheros vermivorum;Is not a Qc breeding bird
Calidris bairdii;Is not a Qc breeding bird
Pipilo chlorurus;Is not a Qc breeding bird
Patagioenas fasciata;Is not a Qc breeding bird
Piranga flava;Is not a Qc breeding bird
Calidris fuscicollis;Is not a Qc breeding bird
Limosa limosa;Is not a Qc breeding bird
Turdus pilaris;Is not a Qc breeding bird
Plegadis chihi;Is not a Qc breeding bird
Chondestes grammacus;Is not a Qc breeding bird
Chlidonias leucopterus;Is not a Qc breeding bird
Empidonax virescens;Is not a Qc breeding bird
Pelecanus occidentalis;Is not a Qc breeding bird
Aechmophorus occidentalis;Is not a Qc breeding bird
Buteo swainsoni;Is not a Qc breeding bird
Tyrannus melancholicus;Is not a Qc breeding bird
Vanellus vanellus;Is not a Qc breeding bird
Xanthocephalus xanthocephalus;Is not a Qc breeding bird
Setophaga townsendi;Is not a Qc breeding bird
Setophaga nigrescens;Is not a Qc breeding bird
Thalasseus sandvicensis;Is not a Qc breeding bird
Ammodramus maritimus;Is not a Qc breeding bird
Tyrannus dominicensis;Is not a Qc breeding bird
Calamospiza melanocorys;Is not a Qc breeding bird
Coragyps atratus;Is not a Qc breeding bird
Podiceps nigricollis;Is not a Qc breeding bird
Zonotrichia querula;Is not a Qc breeding bird
Icterus cucullatus;Is not a Qc breeding bird
Tachycineta thalassina;Is not a Qc breeding bird
Pipilo maculatus;Is not a Qc breeding bird
Protonotaria citrea;Is not a Qc breeding bird
Calidris alba;Is not a Qc breeding bird
Leucophaeus atricilla;Is not a Qc breeding bird
